번호,시군명,기관명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,전화번호정보,홈페이지URL,비고
2,경기도,경기도북부보조기기센터,경기도 양주시 삼숭동 640-18번지,경기도 양주시 고삼로43번길 28,11485,37.8013317,127.0910855,031-852-7363,https://atrac.or.kr/main/main.html,
3,경기도,경기도장애인보장구수리센터,경기도 수원시 권선구 구운동 522-2번지,경기도 수원시 권선구 구운로45번길 27,16408,37.2766987,126.9724957,031-251-7192,http://gapd.or.kr/repair/repair_request_write.php,
4,경기도,경기도재활공학서비스연구지원센터,경기도 수원시 권선구 오목천동 677번지,경기도 수원시 권선구 서수원로 130,16639,37.2394226,126.9728756,031-295-7363,https://atrac.or.kr/main/main.html,
11,과천시,경기도지체장애인협회 과천시지회,경기도 과천시 문원동 31-3번지,경기도 과천시 문원로 40,13828,37.4288572,127.0019676,02-503-9412,https://cafe.daum.net/korea5029410,
12,과천시,울림터과천시장애인자립생활센터,경기도 과천시 문원동 15-11번지,경기도 과천시 공원마을1길 54,13828,37.4303218,127.0024947,02-503-9412,http://wgcil.co.kr/,
13,광명시,광명시장애인이동보조기기수리센터,경기도 광명시 소하동 1366번지 신촌휴먼시아2단지아파트 1층,"경기도 광명시 소하로 189, 1층",14319,37.4469112,126.8938253,02-899-1497,https://cafe.naver.com/gmwrsc,
17,군포시,경기도지체장애인협회 군포시지회,경기도 군포시 금정동 845-1번지,경기도 군포시 청백리길 13,15829,37.3600157,126.9330881,031-399-1276,http://www.gappd.or.kr/,
36,안산시,상록수장애인자립생활센터,경기도 안산시 단원구 고잔동 723번지,경기도 안산시 단원구 광덕4로 237,15464,37.3160151,126.8384949,031-481-8172,http://sangnoksuil.or.kr/pages/menu7_01.php,
38,안양시,밀알보장구수리센터,경기도 안양시 동안구 관양동 1390-3번지,경기도 안양시 동안구 관평로327번길 29,13936,37.4056041,126.9560092,031-8068-6100,,
39,안양시,온누리부흥센터,경기도 안양시 만안구 안양동 707-307번지,경기도 안양시 만안구 냉천로153번길 9,14000,37.3938788,126.9216262,031-455-1313,,
51,의왕시,지체장애인협회 의왕시지회,경기도 의왕시 고천동 439-212번지,경기도 의왕시 고산로 25,16074,37.3518609,126.9686147,031-456-6112,www.warmhand.or.kr,
