번호,시군명,기관명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,전화번호정보,홈페이지URL,비고
1,가평군,경기도지체장애인협회 가평군지회,경기도 가평군 가평읍 읍내리 300-3번지,경기도 가평군 가평읍 보납로 74,12411,37.8314548000,127.5188641000,031-582-0790,http://www.kappd7.or.kr/,
2,경기도,경기도북부보조기기센터,경기도 양주시 삼숭동 640-18번지,경기도 양주시 고삼로43번길 28,11485,37.8013317000,127.0910855000,031-852-7363,https://atrac.or.kr/main/main.html,
3,경기도,경기도장애인보장구수리센터,경기도 수원시 권선구 구운동 522-2번지,경기도 수원시 권선구 구운로45번길 27,16408,37.2766987000,126.9724957000,031-251-7192,http://gapd.or.kr/repair/repair_request_write.php,
4,경기도,경기도재활공학서비스연구지원센터,경기도 수원시 권선구 오목천동 677번지,경기도 수원시 권선구 서수원로 130,16639,37.2394226000,126.9728756000,031-295-7363,https://atrac.or.kr/main/main.html,
5,고양시,나우의료기,경기도 고양시 일산동구 백석동 1248번지,경기도 고양시 일산동구 강송로73번길 7-19,10446,37.6458408000,126.7908060000,031-905-7549,www.,
6,고양시,닛신,경기도 고양시 덕양구 오금동 686번지,경기도 고양시 덕양구 삼막3길 5,10575,37.6676596000,126.9207554000,031-790-0595,www.,
7,고양시,땡큐시니어 건강의료기,경기도 고양시 일산서구 대화동 2252-10번지,경기도 고양시 일산서구 호수로856번길 65-1,10383,37.6732195000,126.7494512000,070-8875-0899,http://www.thankyousenior.com/,
8,고양시,장애인권익지원협회 고양시지부,경기도 고양시 일산서구 주엽동 23번지 문촌마을9단지아파트,경기도 고양시 일산서구 주엽로 156,10388,37.6719368000,126.7589778000,031-924-9500,www.,
9,고양시,장애인복지협회의료기,경기도 고양시 덕양구 화정동 902-5번지,경기도 고양시 덕양구 화중로 126,10477,37.6382481000,126.8318967000,031-966-0064,www.,
10,고양시,지성메디칼,경기도 고양시 일산동구 식사동 815-2번지,경기도 고양시 일산동구 동국로 16,10325,37.6754409000,126.8075795000,031-968-0377,www.,
11,과천시,경기도지체장애인협회 과천시지회,경기도 과천시 문원동 31-3번지,경기도 과천시 문원로 40,13828,37.4288572000,127.0019676000,02-503-9412,https://cafe.daum.net/korea5029410,
12,과천시,울림터과천시장애인자립생활센터,경기도 과천시 문원동 15-11번지,경기도 과천시 공원마을1길 54,13828,37.4303218000,127.0024947000,02-503-9412,http://wgcil.co.kr/,
13,광명시,광명시장애인이동보조기기수리센터,경기도 광명시 소하동 1366번지 신촌휴먼시아2단지아파트 1층,"경기도 광명시 소하로 189, 1층",14319,37.4469112000,126.8938253000,02-899-1497,https://cafe.naver.com/gmwrsc,
14,광주시,국보의료기,경기도 광주시 장지동 359-1번지,경기도 광주시 순암로 94,12777,37.3944913000,127.2389238000,031-766-6493,https://blog.naver.com/gjcityi,
15,광주시,번창보조기기센터,경기도 광주시 송정동 581-5번지,경기도 광주시 통미로 66-1,12744,37.4159481000,127.2533483000,031-763-2958,https://blog.naver.com/gjcityi,
16,구리시,경기도지체장애인협회 구리시지회,경기도 구리시 인창동 430번지,경기도 구리시 동구릉로136번길 57,11915,37.5999472000,127.1163916000,031-555-0044,http://www.grppd.or.kr/,
17,군포시,경기도지체장애인협회 군포시지회,경기도 군포시 금정동 845-1번지,경기도 군포시 청백리길 13,15829,37.3600157000,126.9330881000,031-399-1276,http://www.gappd.or.kr/,
18,김포시,김포시이동기기수리센터,경기도 김포시 걸포동 1550-63번지,경기도 김포시 감안로 125,10092,37.6416741000,126.6587173000,031-982-0009,www.,
19,남양주시,남양주시장애인보장구수리센터,경기도 남양주시 금곡동 693-2번지,경기도 남양주시 경춘로 883-2,12235,37.6325652000,127.1998085000,031-591-6930,https://www.nyjkappd.or.kr/index_nyj.jsp,
20,동두천시,경기도지체장애인협회 동두천시지회,경기도 동두천시 상패동 83-1번지,경기도 동두천시 어수로 5,11339,37.9060504000,127.0444517000,031-858-9958,http://www.ddcappd.or.kr/,
21,동두천시,한국교통장애인협회 동두천시지회,경기도 동두천시 생연동 511-1번지,경기도 동두천시 중앙로 392-1,11313,37.8800257000,127.0547366000,031-864-9559,www.,
22,부천시,부천장애인보장구클리너센터,경기도 부천시 원미구 춘의동 171-50번지,경기도 부천시 원미구 길주로392번길 28,14552,37.5023732000,126.7860220000,032-266-0223,www.,
23,부천시,실버케어114,경기도 부천시 원미구 상동 546-8번지,경기도 부천시 원미구 소향로 29,14544,37.5038964000,126.7510817000,032-323-8106,www.,
24,부천시,케어114,인천광역시 부평구 부평동 124-3번지,인천광역시 부평구 장제로 170,21353,37.5004811000,126.7310793000,032-556-4114,http://care-114.kr/,
25,성남시,성남시복지용구공유센터,경기도 성남시 중원구 은행동 2470번지,경기도 성남시 중원구 은이로63번길 8,13154,37.4566126000,127.1698263000,031-747-2870,https://snjb2870.com/,
26,수원시,대길케어,경기도 수원시 장안구 연무동 259-32번지,경기도 수원시 장안구 월드컵로 405번길 18-11,16221,37.2932616000,127.0258225000,031-252-9337,http://blog.daum.net/bong3210/,
27,수원시,부르미,경기도 수원시 권선구 서둔동 202-2번지,경기도 수원시 권선구 서호로 135-10,16616,37.2711440000,126.9854243000,031-269-3609,www.,
28,수원시,수원시보장구수리센터,경기도 수원시 팔달구 우만동 301번지 주공3단지아파트,경기도 수원시 팔달구 창룡대로 210번길 13,16230,37.2918025000,127.0352183000,031-231-2000,www.,
29,수원시,에이원케어메디칼,경기도 수원시 권선구 구운동 898-2번지,경기도 수원시 권선구 일월천로15번길 14-13,16412,37.2845560000,126.9729803000,031-278-8275,www.,
30,수원시,일신케어,경기도 수원시 권선구 구운동 522-2번지,경기도 수원시 권선구 구운로45번길 27,16408,37.2963607000,127.0077618000,031-247-9337,www.,
31,수원시,자립원,경기도 수원시 팔달구 우만동 471-28번지,경기도 수원시 팔달구 세지로399번길 94-2,16233,37.2889746000,127.0267293000,000-000-0000,www.,
32,수원시,천수기업,경기도 수원시 권선구 세류동 978-1번지,경기도 수원시 권선구 덕영대로1126번길 30,16656,37.2514694000,127.0138274000,031-222-8933,www.,
33,수원시,케어존,경기도 수원시 권선구 권선동 940-1번지,경기도 수원시 권선구 효원로 196,16569,37.2636147000,127.0231648000,000-000-0000,www.,
34,수원시,힐링산업,경기도 수원시 팔달구 팔달로2가 112-2번지,경기도 수원시 팔달구 정조로 781,16261,37.2780609000,127.0161267000,031-216-8661,www.,
35,시흥시,시흥시장애인보장구수리센터,경기도 시흥시 정왕동 1800-9번지,경기도 시흥시 정왕대로233번길 27-1,15055,37.3476729000,126.7411540000,031-431-9114,http://www.shwcd.org/,
36,안산시,상록수장애인자립생활센터,경기도 안산시 단원구 고잔동 723번지,경기도 안산시 단원구 광덕4로 237,15464,37.3160151000,126.8384949000,031-481-8172,http://sangnoksuil.or.kr/pages/menu7_01.php,
37,안성시,경기도장애인협회 안성시지회,경기도 안성시 구포동 38번지,경기도 안성시 중앙로411번길 65,17589,37.0098852000,127.2731683000,031-671-9231,www.,
38,안양시,밀알보장구수리센터,경기도 안양시 동안구 관양동 1390-3번지,경기도 안양시 동안구 관평로327번길 29,13936,37.4056041000,126.9560092000,031-8068-6100,www.,
39,안양시,온누리부흥센터,경기도 안양시 만안구 안양동 707-307번지,경기도 안양시 만안구 냉천로153번길 9,14000,37.3938788000,126.9216262000,031-455-1313,www.,
40,양주시,디딤돌장애인자립생활센터,경기도 양주시 백석읍 오산리 24-3번지,경기도 양주시 백석읍 고릉말로 150,11509,37.7950310000,126.9909170000,031-847-3431,www.,
41,양주시,세움재활보장구센터,경기도 의정부시 호원동 442-3번지,경기도 의정부시 평화로 274,11709,37.7164081000,127.0474875000,000-000-0000,www.,
42,양평군,경기도지체장애인협회 양평군지회,경기도 양평군 양평읍 공흥리 310-8번지,경기도 양평군 양평읍 중앙로111번길 34-19,12550,37.4960850000,127.5053510000,031-773-7440,https://www.facebook.com/kappdyp,
43,여주시,경기도장애인협회 여주시지회,경기도 여주시 상동 377번지,경기도 여주시 여흥로160번길 32,12630,37.2928534000,127.6400207000,031-883-7894,www.,
44,여주시,지체장애인협회 여주시지회,경기도 여주시 창동 139-2번지,경기도 여주시 소양로53번길 18,12627,37.2950113000,127.6327976000,031-882-0747,http://www.yeoju.go.kr/history/main.jsp,
45,여주시,한솔의료기,경기도 여주시 상동 283-7번지,경기도 여주시 여흥로 149,12621,37.2955619000,127.6399067000,031-881-4111,http://blog.naver.com/juck0817,
46,연천군,연천장애인자립생활센터,경기도 연천군 전곡읍 전곡리 231-12번지,경기도 연천군 전곡읍 전곡로 13,11031,38.0151436000,127.0711184000,031-832-9711,https://cafe.daum.net/ycilcenter,
47,오산시,지체장애인협회 오산시지회,경기도 오산시 오산동 49번지,경기도 오산시 경기동로 15,18131,37.1575588000,127.0740851000,031-373-9944,www.,
48,용인시,용인시보장구수리센터,경기도 용인시 기흥구 중동 845-6번지,경기도 용인시 기흥구 동백3로11번길 33,17006,37.2714602000,127.1512364000,031-679-0292,www.,
49,용인시,용인종로의료기,경기도 용인시 처인구 김량장동 24번지,경기도 용인시 처인구 백옥대로 1072,17063,37.2315504000,127.2097766000,031-335-4488,www.,
50,용인시,지체장애인협회 용인시지회,경기도 용인시 처인구 고림동 954번지,경기도 용인시 처인구 경안천로 316,17038,37.2591023000,127.2191716000,031-335-3457,http://www.kappdyi.or.kr/,
51,의왕시,지체장애인협회 의왕시지회,경기도 의왕시 고천동 439-212번지,경기도 의왕시 고산로 25,16074,37.3518609000,126.9686147000,031-456-6112,www.warmhand.or.kr,
52,의정부시,세움재활보장구센터,경기도 의정부시 호원동 442-3번지,경기도 의정부시 평화로 274,11709,37.7164081000,127.0474875000,02-933-5590,http://www.seoum.org/,
53,의정부시,케어메디칼,경기도 의정부시 신곡동 786-8번지,경기도 의정부시 부용로210번길 14,11773,37.7496658000,127.0787963000,031-853-6724,www.,
54,의정부시,케어플러스,경기도 의정부시 민락동 704-1번지,경기도 의정부시 용현로150번길 6-17,11808,37.7365265000,127.0870082000,031-824-5222,https://blog.naver.com/careplus1,
55,이천시,가촌사회적협동조합,경기도 이천시 백사면 조읍리 638번지,경기도 이천시 백사면 이여로 265,17310,37.3210306000,127.4705859000,031-631-8383,www.,
56,이천시,지체장애인협회 이천시지회,경기도 이천시 중리동 449번지,경기도 이천시 서희로 11,17376,37.2779366000,127.4269271000,031-635-1359,https://cafe.daum.net/icheon6338850,
57,파주시,지체장애인협회 파주시지회,경기도 파주시 금촌동 108-64번지,경기도 파주시 황골로 74-13,10922,37.7548459000,126.7773931000,031-944-9595,http://www.pjppd.or.kr/,
58,평택시,평택시청,경기도 평택시 비전동 846번지,경기도 평택시 경기대로 245,17901,36.9922606000,127.1126884000,031-8024-5000,https://www.pyeongtaek.go.kr/main.do,
59,포천시,포천장애인자립생활센터,경기도 포천시 신북면 신평리 605-2번지,경기도 포천시 신북면 청신로 2072,11138,37.9373962000,127.2199336000,031-531-6369,https://cafe.daum.net/pochonIL,
60,하남시,지체장애인협회 하남시지회,경기도 하남시 하산곡동 556-11번지,경기도 하남시 검단로19번길 23,13024,37.5357240000,127.2105992000,031-794-1348,https://blog.daum.net/hanamkripl,
61,화성시,화성시청,경기도 화성시 만세구 남양읍 남양리 2000번지,경기도 화성시 남양읍 시청로 159,18274,37.1995372000,126.8314774000,031-5189-2226,https://www.hscity.go.kr/www/index.do,
