"센터명","우편번호","주소","전담지역","전화번호","홈페이지"
"중앙보조기기센터","01022","서울특별시 강북구 삼각산로58 국립재활원 교육행정동 1층 중앙보조기기센터","전국","1670-5529","http://www.knat.go.kr"
"부산광역시보조기기센터","47519","부산광역시 연제구 중앙대로 1150번길 15 부산광역시장애인종합복지관","부산광역시","1670-5529","http://www.bratc.or.kr"
"대구광역시보조기기센터","42400","대구광역시 남구 성당로50길 33 대구대학교 대명동캠퍼스 평생교육원 1호관 1201호","대구광역시","1670-5529","http://datc.daegu.ac.kr"
"인천광역시보조기기센터","21042","인천광역시 계양구 계양산로 35번길 12-37 인천광역시 보조기기센터","인천광역시","1670-5529","http://www.icatc.or.kr"
"광주광역시보조기기센터","61027","광주광역시 북구 하서로 590 호남권역재활병원 1층","광주광역시","1670-5529","http://www.gjat.or.kr"
"대전광역시보조기기센터","35015","대전광역시 중구 문화로 266 대전충청권역의료재활센터 지하 1층","대전광역시","1670-5529","http://www.cnuh.co.kr/yeswecan/"
"울산광역시 보조기기센터","44689","울산광역시 남구 신정동 돋질로 131 1층 울산광역시보조기기센터","울산광역시","1670-5529","http://www.usat.or.kr"
"세종특별자치시보조기기센터","30100","세종특별자치시 한누리대로 589, 301호","세종특별자치시","1670-5529","http://www.sjatc.or.kr"
"경기도보조기기센터","11485","경기도 경기도 양주시 고삼로 43번길28","북부지역","1670-5529","http://atrac.or.kr"
"충청북도보조기기센터","28459","충청북도 청주시 흥덕구 1순환로 438번길 39-17 충북재활의원 3층","충청북도","1670-5529","http://www.cbat.or.kr"
"충청남도보조기기센터","31172","충청남도 천안시 서북구 월봉로48 믿음관 1층","충청남도","1670-5529","http://www.cnat.or.kr"
"전북특별자치도보조기기센터","55046","전라북도 전주시 완산구 서원로 394, 1층 전라북도보조기기센터","전라북도","1670-5529","http://www.jbat.or.kr"
"전라남도보조기기센터","57997","전라남도 순천시 제일대학길17(덕월동)","전라남도","1670-5529","http://www.jnat.or.kr"
"경상북도보조기기센터","38453","경상북도 경산시 진량읍 대구대로 201 점자도서관 1층 1103호","경상북도","1670-5529","http://gbatc.daegu.ac.kr"
"제주특별자치도보조기기센터","63311","제주특별자치도 제주시 아봉로 433, 제주시각장애인복지관 2층","제주도","1670-5529","http://www.jejuat.or.kr"
"강원특별자치도보조기기센터","24227","강원도 춘천시 충열로 142번길 24-16","강원특별자치도","1670-5529","http://www.gatc.or.kr"
"서울시동남보조기기센터","05235","서울특별시 강동구 고덕로 201","서울 동남 권역","02-440-5891","http://www.seoulats.or.kr"
"서울시동북보조기기센터","01772","서울특별시 노원구 덕릉로 70 가길 96","서울 동북 권역","02-6926-6950","http://www.seoulats.or.kr"
"서울시서남보조기기센터","07517","서울특별시 강서구 방화대로45길 69","서울 서남 권역","070-4878-3690","http://www.seoulats.or.kr"
"서울시서북보조기기센터","03918","서울특별시 마포구 월드컵북로 494","서울 서북 권역","02-6070-9264","http://www.seoulats.or.kr"
"경기도재활공학서비스연구지원센터","16639","경기도 수원시 권선구 서수원로 130 누림센터 1,2층","남부지역","031-295-7363","http://atrac.or.kr"
"굿잡장애인자립생활센터","06240","서울특별시 강남구 테헤란로 8길 36 2층","-","02-518-2197","http://www.goodil.or.kr"
"과천시장애인복지관","13828","경기도 과천시 문원로 40","과천","02-2185-8000","http://www.happyseed.or.kr"
"성남시장애인종합복지관","13203","경기도 성남시 중원구 사기막골로150번길 20","성남","031-733-3322","http://www.rehab21.or.kr"
"용인시 처인장애인복지관","17038","경기도 용인시 처인구 경안천로 318","용인","031-320-4800","http://www.heart4u.or.kr"
"양평군장애인복지관","12550","경기도 양평군 양평읍 중앙로 111번길 36-1","양평군","031-773-9080","http://www.yprehab.or.kr"
"노틀담복지관 자세유지기구센터","21042","인천광역시 계양구 계양산로 35번길 12-37","인천","032-540-8988","http://www.pmac.or.kr"
"충북장애인자립생활센터","28697","충청북도 청주시 흥덕구 수곡동 1010번지","","043-295-4244","http://www.ccil.or.kr"
"목포시장애인종합복지관","58660","전라남도 목포시 하당로205번길 12","목포","061-285-2811","http://www.mokporehab.or.kr"
"오치종합사회복지관","61119","광주광역시 북구 서하로 194번길 6","광주","062-263-8200","http://ochicaritas.kr/"
"우리이웃장애인자립생활센터","61122","광주광역시 북구 오치동 953-5 1층","광주","062-264-3157","http://www.necil.kr"
"제주장애인자립생활센터","63256","제주특별자치도 제주시 천수동로 30","","064-751-9100","http://jcil.or.kr"
"경상남도보조기기센터","51144","경상남도 경상남도 창원시 의창구 봉곡로 97번길 85(봉곡동)","경상남도","055-237-8242","http://www.gnatc.or.kr"
