"센터명","우편번호","주소","전담지역","전화번호","홈페이지","addr_road","addr_jibun","zip_code","sgg_name","longitude","latitude","address_type","geo_grade","geo_query","geo_attempt"
"중앙보조기기센터","01022","서울특별시 강북구 삼각산로58 국립재활원 교육행정동 1층 중앙보조기기센터","전국","1670-5529","http://www.knat.go.kr","서울 강북구 삼각산로 58","서울 강북구 수유동 520","01022","강북구","127.010264590667","37.638655704921","ROAD_ADDR","A","서울특별시 강북구 삼각산로58 국립재활원 교육행정동 1층 중앙보조기기센터","1"
"부산광역시보조기기센터","47519","부산광역시 연제구 중앙대로 1150번길 15 부산광역시장애인종합복지관","부산광역시","1670-5529","http://www.bratc.or.kr","부산 연제구 중앙대로1150번길 15","부산 연제구 연산동 578-5","47519","연제구","129.081546428969","35.1905611498729","ROAD_ADDR","A","부산광역시 연제구 중앙대로 1150번길 15 부산광역시장애인종합복지관","1"
"대구광역시보조기기센터","42400","대구광역시 남구 성당로50길 33 대구대학교 대명동캠퍼스 평생교육원 1호관 1201호","대구광역시","1670-5529","http://datc.daegu.ac.kr","대구 남구 성당로50길 33","대구 남구 대명동 2288","42400","남구","128.575074973881","35.8559787775074","ROAD_ADDR","A","대구광역시 남구 성당로50길 33 대구대학교 대명동캠퍼스 평생교육원 1호관 1201호","1"
"인천광역시보조기기센터","21042","인천광역시 계양구 계양산로 35번길 12-37 인천광역시 보조기기센터","인천광역시","1670-5529","http://www.icatc.or.kr","인천 계양구 계양산로35번길 12-37","인천 계양구 계산동 산 40","21042","계양구","126.71746122119","37.5452477292679","ROAD_ADDR","A","인천광역시 계양구 계양산로 35번길 12-37 인천광역시 보조기기센터","1"
"광주광역시보조기기센터","61027","광주광역시 북구 하서로 590 호남권역재활병원 1층","광주광역시","1670-5529","http://www.gjat.or.kr","전남광주통합특별시 북구 하서로 590","전남광주통합특별시 북구 본촌동 459-3","61027","북구","126.883975215758","35.225755561795","ROAD_ADDR","A","광주광역시 북구 하서로 590 호남권역재활병원 1층","1"
"대전광역시보조기기센터","35015","대전광역시 중구 문화로 266 대전충청권역의료재활센터 지하 1층","대전광역시","1670-5529","http://www.cnuh.co.kr/yeswecan/","대전 중구 문화로 266","대전 중구 문화동 6","35015","중구","127.413798182697","36.3163673713001","ROAD_ADDR","A","대전광역시 중구 문화로 266 대전충청권역의료재활센터 지하 1층","1"
"울산광역시 보조기기센터","44689","울산광역시 남구 신정동 돋질로 131 1층 울산광역시보조기기센터","울산광역시","1670-5529","http://www.usat.or.kr","울산 남구 돋질로 131","울산 남구 신정동 168-8","44689","남구","129.319827795879","35.5402242322049","ROAD_ADDR","A","울산광역시 남구 신정동 돋질로 131 1층 울산광역시보조기기센터","1"
"세종특별자치시보조기기센터","30100","세종특별자치시 한누리대로 589, 301호","세종특별자치시","1670-5529","http://www.sjatc.or.kr","세종특별자치시 한누리대로 589","세종특별자치시 도담동 655","30098","","127.258452911128","36.5159296361556","ROAD_ADDR","A","세종특별자치시 한누리대로 589, 301호","1"
"경기도보조기기센터","11485","경기도 경기도 양주시 고삼로 43번길28","북부지역","1670-5529","http://atrac.or.kr","경기 양주시 고삼로43번길 28","경기 양주시 삼숭동 640-18","11485","양주시","127.091085852826","37.8013315186896","ROAD_ADDR","A","경기도 경기도 양주시 고삼로 43번길28","1"
"충청북도보조기기센터","28459","충청북도 청주시 흥덕구 1순환로 438번길 39-17 충북재활의원 3층","충청북도","1670-5529","http://www.cbat.or.kr","충북 청주시 흥덕구 1순환로438번길 39-17","충북 청주시 흥덕구 신봉동 146-17","28459","청주시 흥덕구","127.466613034741","36.6538603818203","ROAD_ADDR","A","충청북도 청주시 흥덕구 1순환로 438번길 39-17 충북재활의원 3층","1"
