"시도명","시군구명","운영방식","업체명","지원기준"
"서울","강남구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","강남구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","강남구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","강남구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원"
"서울","강동구","지정","백세건강의료기","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강동구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강동구","지정","우정메디케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강동구","지정","위드로케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강동구","지정","(주)액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강동구","지정","(주)휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강북구","지정","케어런","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원"
"서울","강서구","지정","굿인","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원"
"서울","강서구","지정","케어존","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원"
"서울","강서구","지정","한울메디컬센터","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원"
"서울","강서구","지정","행복메디칼","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원"
"서울","강서구","지정","휠로피아","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원"
"서울","관악구","지정","알파케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","관악구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","관악구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","관악구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","관악구","지정","현대케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","관악구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","광진구","지정","엠코리아 토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
"서울","광진구","지정","우정메디케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원"
