"sido","sigungu","oper_type","name","support","kakao_name","addr_road","addr_jibun","longitude","latitude","tel","place_url","category","geo_grade","match_query","cand_seen"
"서울","강남구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원","","","","","","","","","NONE","","2"
"서울","강남구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원","엠코리아토탈서비스","서울 강남구 개포로140길 32","서울 강남구 일원동 641-4","127.08659775727627","37.49359432905343","02-6407-3879","http://place.map.kakao.com/17003141","서비스,산업 > 제조업 > 의료용품 > 의료기기제조","A","서울 강남구 엠코리아토탈서비스","1"
"서울","강남구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원","","","","","","","","","NONE","","18"
"서울","강남구","지정","휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 20만원","","","","","","","","","NONE","","3"
"서울","강동구","지정","백세건강의료기","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","백세건강의료기","서울 강동구 동남로85길 67","서울 강동구 고덕동 636-4","127.15321976106293","37.56044947148033","010-7615-3513","http://place.map.kakao.com/502822352","의료,건강 > 의료기기판매","A","서울 강동구 백세건강의료기","1"
"서울","강동구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","","","","","","","","","NONE","","2"
"서울","강동구","지정","우정메디케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","","","","","","","","","NONE","","2"
"서울","강동구","지정","위드로케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","","","","","","","","","NONE","","0"
"서울","강동구","지정","(주)액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","","","","","","","","","NONE","","2"
"서울","강동구","지정","(주)휠로피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","","","","","","","","","NONE","","3"
"서울","강북구","지정","케어런","○ 수급자, 차상위: 30만원 / ○ 일반 : 10만원","","","","","","","","","NONE","","1"
"서울","강서구","지정","굿인","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원","","","","","","","","","NONE","","45"
"서울","강서구","지정","케어존","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원","","","","","","","","","NONE","","19"
"서울","강서구","지정","한울메디컬센터","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원","","","","","","","","","NONE","","0"
"서울","강서구","지정","행복메디칼","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원","행복메디칼","서울 강서구 양천로24가길 19","서울 강서구 방화동 281-4","126.814588580715","37.5726361119413","02-6368-0531","http://place.map.kakao.com/1252668538","의료,건강 > 의료기기판매 > 의료보조기구","A","서울 강서구 행복메디칼","1"
"서울","강서구","지정","휠로피아","○ 수급자, 차상위: 25만원 / ○ 장애연급수급자: 15만원 / ○ 일반: 15만원","휠로피아","서울 강서구 개화동로5길 3-26","서울 강서구 개화동 423-22","126.79881713457607","37.58209143609318","010-9497-5602","http://place.map.kakao.com/623894479","의료,건강 > 의료기기판매","A","서울 강서구 휠로피아","1"
"서울","관악구","지정","알파케어","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원","","","","","","","","","NONE","","5"
"서울","관악구","지정","액티피아","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원","","","","","","","","","NONE","","3"
"서울","관악구","지정","엠코리아토탈서비스","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원","","","","","","","","","NONE","","2"
"서울","관악구","지정","케어존","○ 수급자, 차상위: 30만원 / ○ 일반 : 15만원","","","","","","","","","NONE","","19"
