"시도코드","시도명","번호","업소명","주소","전화번호","취급품목"
"11","서울특별시","253","(A+)늘찬 복지용구","서울특별시 송파구 백제고분로42길 32, 2층 (송파동, 보승빌딩)","02-409-4635","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 수동휠체어"
"11","서울특별시","252","(A+)서울시니어스 원스톱 실버케어","서울특별시 강동구 천중로52길 3 (길동)","02-488-4632","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어"
"11","서울특별시","251","(Hi)하이케어서비스","서울특별시 강서구 화곡로21길 71, 117호 (화곡동, 스위트드림아파트)","070-7696-6899","전동휠체어(가군, 나군) | 의료용 스쿠터 | 수동휠체어"
"11","서울특별시","250","(주)대세 엠. 케어 서울영업소","서울시 송파구 방이1동(방이동) 227-12 대세 엠.케어 빌딩","02-2203-2333","전동휠체어(가군, 나군) | 의료용 스쿠터"
"11","서울특별시","249","(주)동방(지점)","서울특별시 구로구 디지털로30길 31, 901호 (구로동, 코오롱디지털타워빌란트Ⅱ)","02-869-8582","전동휠체어(가군, 나군)"
"11","서울특별시","248","(주)레이케어","서울특별시 용산구 한강대로 205 , D동 701호 (한강로1가, 용산파크자이)","02-325-8058","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어"
"11","서울특별시","247","(주)리베라빗","서울특별시 서대문구 수색로 43 , 203호 (남가좌동, 사회적경제마을센터)","02-3152-0416","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 수동휠체어"
"11","서울특별시","246","(주)비제이메디칼디바이스","서울특별시 양천구 안양천로 1071 (목동, 이화여대목동병원)","02-2650-2786","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 수동휠체어"
"11","서울특별시","245","(주)아이벡스메디칼시스템즈 강남지점","서울특별시 강남구 봉은사로 203, 5층 (논현동, 명진빌딩)","02-557-5897","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트"
"11","서울특별시","244","(주)애니메디","서울특별시 영등포구 당산로38길 5, 지층 (당산동4가, 해승빌딩)","02-2678-9993","전동휠체어(가군, 나군) | 의료용 스쿠터 | 보청기 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어"
"11","서울특별시","243","(주)액티피아","서울특별시 금천구 디지털로9길 56, 9층 6호 (가산동, 코오롱테크노밸리)","00-1588-3037","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어"
"11","서울특별시","242","(주)에스엘메디케어","서울특별시 동작구 사당로 169, 6층 (사당동, 에스엘빌딩)","02-1566-6052","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어"
"11","서울특별시","241","(주)엠코리아","서울특별시 성동구 왕십리로 58, 102,117호 (성수동1가, FORHU)","02-1599-9363","전동휠체어(가군, 나군) | 의료용 스쿠터 | 자세보조용구 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어"
