"시도코드","시도명","번호","업소명","주소","전화번호","취급품목","addr_road","addr_jibun","zip_code","sgg_name","longitude","latitude","address_type","geo_grade","geo_query","geo_attempt"
"11","서울특별시","253","(A+)늘찬 복지용구","서울특별시 송파구 백제고분로42길 32, 2층 (송파동, 보승빌딩)","02-409-4635","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 수동휠체어","서울 송파구 백제고분로42길 32","서울 송파구 송파동 93-5","05668","송파구","127.111233781641","37.5041025860155","ROAD_ADDR","A","서울특별시 송파구 백제고분로42길 32, 2층 (송파동, 보승빌딩)","1"
"11","서울특별시","252","(A+)서울시니어스 원스톱 실버케어","서울특별시 강동구 천중로52길 3 (길동)","02-488-4632","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어","서울 강동구 천중로52길 3","서울 강동구 길동 351-8","05344","강동구","127.144170377611","37.5405270159198","ROAD_ADDR","A","서울특별시 강동구 천중로52길 3 (길동)","1"
"11","서울특별시","251","(Hi)하이케어서비스","서울특별시 강서구 화곡로21길 71, 117호 (화곡동, 스위트드림아파트)","070-7696-6899","전동휠체어(가군, 나군) | 의료용 스쿠터 | 수동휠체어","서울 강서구 화곡로21길 71","서울 강서구 화곡동 1168","07708","강서구","126.836168602837","37.5439708514164","ROAD_ADDR","A","서울특별시 강서구 화곡로21길 71, 117호 (화곡동, 스위트드림아파트)","1"
"11","서울특별시","250","(주)대세 엠. 케어 서울영업소","서울시 송파구 방이1동(방이동) 227-12 대세 엠.케어 빌딩","02-2203-2333","전동휠체어(가군, 나군) | 의료용 스쿠터","서울 송파구 오금로 229","서울 송파구 방이동 227-12","05644","송파구","127.119195109818","37.5070606584398","REGION_ADDR","A","서울시 송파구 방이1동(방이동) 227-12 대세 엠.케어 빌딩","1"
"11","서울특별시","249","(주)동방(지점)","서울특별시 구로구 디지털로30길 31, 901호 (구로동, 코오롱디지털타워빌란트Ⅱ)","02-869-8582","전동휠체어(가군, 나군)","서울 구로구 디지털로30길 31","서울 구로구 구로동 222-8","08390","구로구","126.896489758162","37.4828775627581","ROAD_ADDR","A","서울특별시 구로구 디지털로30길 31, 901호 (구로동, 코오롱디지털타워빌란트Ⅱ)","1"
"11","서울특별시","248","(주)레이케어","서울특별시 용산구 한강대로 205 , D동 701호 (한강로1가, 용산파크자이)","02-325-8058","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어","서울 용산구 한강대로 205","서울 용산구 한강로1가 50-1","04322","용산구","126.972808655459","37.5366835309492","ROAD_ADDR","A","서울특별시 용산구 한강대로 205 , D동 701호 (한강로1가, 용산파크자이)","1"
"11","서울특별시","247","(주)리베라빗","서울특별시 서대문구 수색로 43 , 203호 (남가좌동, 사회적경제마을센터)","02-3152-0416","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 수동휠체어","서울 서대문구 수색로 43","서울 서대문구 남가좌동 296-13","03715","서대문구","126.913435047526","37.5697439855335","ROAD_ADDR","A","서울특별시 서대문구 수색로 43 , 203호 (남가좌동, 사회적경제마을센터)","1"
"11","서울특별시","246","(주)비제이메디칼디바이스","서울특별시 양천구 안양천로 1071 (목동, 이화여대목동병원)","02-2650-2786","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 수동휠체어","서울 양천구 안양천로 1071","서울 양천구 목동 911-1","07985","양천구","126.886743916495","37.5369818505985","ROAD_ADDR","A","서울특별시 양천구 안양천로 1071 (목동, 이화여대목동병원)","1"
"11","서울특별시","245","(주)아이벡스메디칼시스템즈 강남지점","서울특별시 강남구 봉은사로 203, 5층 (논현동, 명진빌딩)","02-557-5897","전동휠체어(가군, 나군) | 의료용 스쿠터 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트","서울 강남구 봉은사로 203","서울 강남구 논현동 234-27","06109","강남구","127.034239582576","37.5076856291152","ROAD_ADDR","A","서울특별시 강남구 봉은사로 203, 5층 (논현동, 명진빌딩)","1"
"11","서울특별시","244","(주)애니메디","서울특별시 영등포구 당산로38길 5, 지층 (당산동4가, 해승빌딩)","02-2678-9993","전동휠체어(가군, 나군) | 의료용 스쿠터 | 보청기 | 욕창예방방석 | 욕창예방매트리스 | 이동식전동리프트 | 전방보행차 | 후방보행차 | 수동휠체어","서울 영등포구 당산로38길 5","서울 영등포구 당산동4가 32-35","07220","영등포구","126.899014622465","37.5291130092834","ROAD_ADDR","A","서울특별시 영등포구 당산로38길 5, 지층 (당산동4가, 해승빌딩)","1"
